[PiCamera @ factory.py:85][DEBUG] 2017-11-10 15:59:42,850: Logging to: logs/2017_Nov_10/PiCamera/15_59_42.log
[PiCamera @ picamera.py:50][DEBUG] 2017-11-10 15:59:42,878: PiCamera setup
[PiCamera @ picamera.py:61][INFO] 2017-11-10 15:59:43,143: PiCamera initialized: <picamera.camera.PiCamera object at 0x6df80718>
[PiCamera @ picamera.py:136][INFO] 2017-11-10 15:59:43,144: Warming up camera
[PiCamera @ node.py:79][DEBUG] 2017-11-10 15:59:57,120: [log buffer start]
[DEBUG, 1510347586.9231174]: PiCamera image received: ImageMessage(t=1510347586.9231055, n=2)
[DEBUG, 1510347586.979001]: PiCamera image received: ImageMessage(t=1510347586.9789903, n=3)
[DEBUG, 1510347587.079214]: PiCamera image received: ImageMessage(t=1510347587.079206, n=5)
[DEBUG, 1510347587.1124575]: PiCamera image received: ImageMessage(t=1510347587.1124492, n=6)
[DEBUG, 1510347587.14516]: PiCamera image received: ImageMessage(t=1510347587.1451519, n=7)
[DEBUG, 1510347587.1778438]: PiCamera image received: ImageMessage(t=1510347587.1778357, n=8)
[DEBUG, 1510347587.2105317]: PiCamera image received: ImageMessage(t=1510347587.2105236, n=9)
[DEBUG, 1510347587.243413]: PiCamera image received: ImageMessage(t=1510347587.2434046, n=10)
[DEBUG, 1510347587.2765107]: PiCamera image received: ImageMessage(t=1510347587.2764955, n=11)
[DEBUG, 1510347587.3091767]: PiCamera image received: ImageMessage(t=1510347587.3091607, n=12)
[DEBUG, 1510347587.3422527]: PiCamera image received: ImageMessage(t=1510347587.3422377, n=13)
[DEBUG, 1510347587.375352]: PiCamera image received: ImageMessage(t=1510347587.375337, n=14)
[DEBUG, 1510347587.4734912]: PiCamera image received: ImageMessage(t=1510347587.4734752, n=15)
[DEBUG, 1510347587.5067742]: PiCamera image received: ImageMessage(t=1510347587.5067594, n=16)
[DEBUG, 1510347587.5401444]: PiCamera image received: ImageMessage(t=1510347587.5401297, n=17)
[DEBUG, 1510347587.572495]: PiCamera image received: ImageMessage(t=1510347587.5724802, n=18)
[DEBUG, 1510347587.6072161]: PiCamera image received: ImageMessage(t=1510347587.6072009, n=19)
[DEBUG, 1510347587.6412728]: PiCamera image received: ImageMessage(t=1510347587.6412575, n=20)
[DEBUG, 1510347587.7398355]: PiCamera image received: ImageMessage(t=1510347587.739821, n=21)
[DEBUG, 1510347587.7730005]: PiCamera image received: ImageMessage(t=1510347587.7729864, n=22)
[DEBUG, 1510347587.8080275]: PiCamera image received: ImageMessage(t=1510347587.8080127, n=24)
[DEBUG, 1510347587.9063056]: PiCamera image received: ImageMessage(t=1510347587.90629, n=25)
[DEBUG, 1510347587.940942]: PiCamera image received: ImageMessage(t=1510347587.9409273, n=26)
[DEBUG, 1510347587.9741912]: PiCamera image received: ImageMessage(t=1510347587.9741762, n=27)
[DEBUG, 1510347588.0069716]: PiCamera image received: ImageMessage(t=1510347588.0069566, n=28)
