[PiCamera @ factory.py:85][DEBUG] 2017-11-10 19:52:25,666: Logging to: logs/2017_Nov_10/PiCamera/19_52_25.log
[PiCamera @ picamera.py:50][DEBUG] 2017-11-10 19:52:25,696: PiCamera setup
[PiCamera @ picamera.py:61][INFO] 2017-11-10 19:52:25,961: PiCamera initialized: <picamera.camera.PiCamera object at 0x6deb1718>
[PiCamera @ picamera.py:136][INFO] 2017-11-10 19:52:25,962: Warming up camera
[PiCamera @ node.py:79][DEBUG] 2017-11-10 19:52:39,418: [log buffer start]
[DEBUG, 1510361549.7294157]: PiCamera image received: ImageMessage(t=1510361549.7294028, n=1)
[DEBUG, 1510361549.7889783]: PiCamera image received: ImageMessage(t=1510361549.7889676, n=2)
[DEBUG, 1510361549.8543649]: PiCamera image received: ImageMessage(t=1510361549.8543563, n=3)
[DEBUG, 1510361549.887302]: PiCamera image received: ImageMessage(t=1510361549.8872929, n=4)
[DEBUG, 1510361549.9200056]: PiCamera image received: ImageMessage(t=1510361549.9199967, n=5)
[DEBUG, 1510361549.958699]: PiCamera image received: ImageMessage(t=1510361549.9586906, n=7)
[DEBUG, 1510361550.0287192]: PiCamera image received: ImageMessage(t=1510361550.0287037, n=9)
[DEBUG, 1510361550.062285]: PiCamera image received: ImageMessage(t=1510361550.0622694, n=10)
[DEBUG, 1510361550.0954056]: PiCamera image received: ImageMessage(t=1510361550.0953891, n=11)
[DEBUG, 1510361550.1292784]: PiCamera image received: ImageMessage(t=1510361550.1292624, n=12)
[DEBUG, 1510361550.1636074]: PiCamera image received: ImageMessage(t=1510361550.1635923, n=13)
[DEBUG, 1510361550.1968396]: PiCamera image received: ImageMessage(t=1510361550.196824, n=14)
[DEBUG, 1510361550.229968]: PiCamera image received: ImageMessage(t=1510361550.2299533, n=15)
[DEBUG, 1510361550.2641435]: PiCamera image received: ImageMessage(t=1510361550.2641275, n=16)
[DEBUG, 1510361550.2979484]: PiCamera image received: ImageMessage(t=1510361550.2979329, n=17)
[DEBUG, 1510361550.3365574]: PiCamera image received: ImageMessage(t=1510361550.3365414, n=18)
[DEBUG, 1510361550.3706152]: PiCamera image received: ImageMessage(t=1510361550.3705995, n=19)
[DEBUG, 1510361550.4041553]: PiCamera image received: ImageMessage(t=1510361550.40414, n=21)
[DEBUG, 1510361550.4372733]: PiCamera image received: ImageMessage(t=1510361550.4372568, n=22)
[DEBUG, 1510361550.470115]: PiCamera image received: ImageMessage(t=1510361550.4701, n=23)
[DEBUG, 1510361550.5043094]: PiCamera image received: ImageMessage(t=1510361550.5042946, n=24)
[DEBUG, 1510361550.5380766]: PiCamera image received: ImageMessage(t=1510361550.5380614, n=25)
[DEBUG, 1510361550.5705523]: PiCamera image received: ImageMessage(t=1510361550.5705373, n=26)
[DEBUG, 1510361550.6033714]: PiCamera image received: ImageMessage(t=1510361550.6033564, n=27)
[DEBUG, 1510361550.6368124]: PiCamera image received: ImageMessage(t=1510361550.6367972, n=28)
[DEBUG, 1510361550.6719823]: PiCamera image received: ImageMessage(t=1510361550.6719673, n=29)
[DEBUG, 1510361550.706217]: PiCamera image received: ImageMessage(t=1510361550.7062016, n=30)
[DEBUG, 1510361550.7469254]: PiCamera image received: ImageMessage(t=1510361550.7462037, n=31)
[DEBUG, 1510361550.7814882]: PiCamera image received: ImageMessage(t=1510361550.781473, n=32)
[DEBUG, 1510361550.8474555]: PiCamera image received: ImageMessage(t=1510361550.8474398, n=33)
[DEBUG, 1510361550.8808336]: PiCamera image received: ImageMessage(t=1510361550.8808188, n=34)
[DEBUG, 1510361550.91371]: PiCamera image received: ImageMessage(t=1510361550.9136956, n=35)
[DEBUG, 1510361550.9463997]: PiCamera image received: ImageMessage(t=1510361550.9463823, n=36)
[DEBUG, 1510361550.980121]: PiCamera image received: ImageMessage(t=1510361550.9801052, n=37)
[DEBUG, 1510361551.0781972]: PiCamera image received: ImageMessage(t=1510361551.078182, n=38)
[DEBUG, 1510361551.111394]: PiCamera image received: ImageMessage(t=1510361551.111379, n=39)
[DEBUG, 1510361551.1557696]: PiCamera image received: ImageMessage(t=1510361551.1557543, n=40)
[DEBUG, 1510361551.2109447]: PiCamera image received: ImageMessage(t=1510361551.2109287, n=41)
[DEBUG, 1510361551.3527262]: PiCamera image received: ImageMessage(t=1510361551.3527086, n=42)
[DEBUG, 1510361551.423221]: PiCamera image received: ImageMessage(t=1510361551.423204, n=43)
[DEBUG, 1510361551.4665446]: PiCamera image received: ImageMessage(t=1510361551.4665296, n=44)
