[PiCamera @ factory.py:85][DEBUG] 2017-10-27 00:19:55,347: Logging to: logs/2017_Oct_27/PiCamera/00_19_55.log
[PiCamera @ picamera.py:49][DEBUG] 2017-10-27 00:19:55,412: PiCamera setup
[PiCamera @ picamera.py:60][INFO] 2017-10-27 00:19:55,816: PiCamera initialized: <picamera.camera.PiCamera object at 0x703e2a58>
[PiCamera @ picamera.py:129][INFO] 2017-10-27 00:19:55,817: Warming up camera
[PiCamera @ node.py:64][DEBUG] 2017-10-27 00:20:08,267: [log buffer start]
[DEBUG, 1509077999.6164658]: PiCamera image received: ImageMessage(t=1509077999.6164465, n=0)
[DEBUG, 1509077999.6504939]: PiCamera image received: ImageMessage(t=1509077999.6504836, n=1)
[DEBUG, 1509077999.7160223]: PiCamera image received: ImageMessage(t=1509077999.7160087, n=2)
[DEBUG, 1509077999.7485192]: PiCamera image received: ImageMessage(t=1509077999.748508, n=3)
[DEBUG, 1509077999.7805839]: PiCamera image received: ImageMessage(t=1509077999.7805736, n=4)
[DEBUG, 1509077999.8125138]: PiCamera image received: ImageMessage(t=1509077999.8125033, n=5)
[DEBUG, 1509077999.8463266]: PiCamera image received: ImageMessage(t=1509077999.846304, n=6)
[DEBUG, 1509077999.8795335]: PiCamera image received: ImageMessage(t=1509077999.879516, n=7)
[DEBUG, 1509077999.9825828]: PiCamera image received: ImageMessage(t=1509077999.9825652, n=8)
[DEBUG, 1509078000.0876176]: PiCamera image received: ImageMessage(t=1509078000.0875988, n=9)
[DEBUG, 1509078000.1856909]: PiCamera image received: ImageMessage(t=1509078000.1856728, n=10)
[DEBUG, 1509078000.2179697]: PiCamera image received: ImageMessage(t=1509078000.2179506, n=11)
[DEBUG, 1509078000.3174512]: PiCamera image received: ImageMessage(t=1509078000.3174312, n=12)
[DEBUG, 1509078000.4146693]: PiCamera image received: ImageMessage(t=1509078000.4146504, n=13)
[DEBUG, 1509078000.4504564]: PiCamera image received: ImageMessage(t=1509078000.45044, n=14)
[DEBUG, 1509078000.4836302]: PiCamera image received: ImageMessage(t=1509078000.483612, n=15)
[DEBUG, 1509078000.5165832]: PiCamera image received: ImageMessage(t=1509078000.5165665, n=16)
