[PiCamera @ factory.py:85][DEBUG] 2017-10-27 15:47:23,499: Logging to: logs/2017_Oct_27/PiCamera/15_47_23.log
[PiCamera @ picamera.py:49][DEBUG] 2017-10-27 15:47:23,542: PiCamera setup
[PiCamera @ picamera.py:60][INFO] 2017-10-27 15:47:23,808: PiCamera initialized: <picamera.camera.PiCamera object at 0x6ff52ac0>
[PiCamera @ picamera.py:137][INFO] 2017-10-27 15:47:23,810: Warming up camera
[PiCamera @ picamera.py:91][INFO] 2017-10-27 15:47:25,844: Recording video on 'videos/2017_Oct_27/NaborisOrchestrator/15_47_23.mp4.h264'
[PiCamera @ node.py:64][DEBUG] 2017-10-27 15:47:34,717: [log buffer start]
[DEBUG, 1509133647.5949507]: PiCamera image received: ImageMessage(t=1509133647.5949304, n=2)
[DEBUG, 1509133647.6336763]: PiCamera image received: ImageMessage(t=1509133647.633665, n=3)
[DEBUG, 1509133647.7014592]: PiCamera image received: ImageMessage(t=1509133647.7014458, n=4)
[DEBUG, 1509133647.7344222]: PiCamera image received: ImageMessage(t=1509133647.7344134, n=5)
[DEBUG, 1509133647.7666864]: PiCamera image received: ImageMessage(t=1509133647.766678, n=6)
[DEBUG, 1509133647.798806]: PiCamera image received: ImageMessage(t=1509133647.7987905, n=7)
[DEBUG, 1509133647.8320403]: PiCamera image received: ImageMessage(t=1509133647.8320255, n=8)
[DEBUG, 1509133647.8650417]: PiCamera image received: ImageMessage(t=1509133647.8650265, n=9)
[DEBUG, 1509133647.8986392]: PiCamera image received: ImageMessage(t=1509133647.8986242, n=10)
[DEBUG, 1509133647.9321]: PiCamera image received: ImageMessage(t=1509133647.9320853, n=11)
[DEBUG, 1509133647.9977157]: PiCamera image received: ImageMessage(t=1509133647.997701, n=12)
[DEBUG, 1509133648.0307827]: PiCamera image received: ImageMessage(t=1509133648.030768, n=13)
[DEBUG, 1509133648.0638762]: PiCamera image received: ImageMessage(t=1509133648.0638604, n=14)
[DEBUG, 1509133648.0973094]: PiCamera image received: ImageMessage(t=1509133648.0972922, n=15)
[DEBUG, 1509133648.1348825]: PiCamera image received: ImageMessage(t=1509133648.1348681, n=16)
[DEBUG, 1509133648.169153]: PiCamera image received: ImageMessage(t=1509133648.169139, n=17)
[DEBUG, 1509133648.2045739]: PiCamera image received: ImageMessage(t=1509133648.2045593, n=18)
[DEBUG, 1509133648.2368863]: PiCamera image received: ImageMessage(t=1509133648.23687, n=19)
[DEBUG, 1509133648.302601]: PiCamera image received: ImageMessage(t=1509133648.3025866, n=20)
[DEBUG, 1509133648.3351662]: PiCamera image received: ImageMessage(t=1509133648.3351521, n=21)
[DEBUG, 1509133648.3679082]: PiCamera image received: ImageMessage(t=1509133648.3678932, n=22)
[DEBUG, 1509133648.43315]: PiCamera image received: ImageMessage(t=1509133648.433136, n=23)
[DEBUG, 1509133648.4703305]: PiCamera image received: ImageMessage(t=1509133648.4703166, n=24)
[DEBUG, 1509133648.5025136]: PiCamera image received: ImageMessage(t=1509133648.5024993, n=25)
[DEBUG, 1509133648.5349617]: PiCamera image received: ImageMessage(t=1509133648.5349474, n=26)
[DEBUG, 1509133648.609439]: PiCamera image received: ImageMessage(t=1509133648.609424, n=27)
[DEBUG, 1509133648.6416516]: PiCamera image received: ImageMessage(t=1509133648.6416373, n=29)
[DEBUG, 1509133648.706253]: PiCamera image received: ImageMessage(t=1509133648.706238, n=30)
[DEBUG, 1509133648.7390587]: PiCamera image received: ImageMessage(t=1509133648.739044, n=31)
[DEBUG, 1509133648.7713056]: PiCamera image received: ImageMessage(t=1509133648.771291, n=32)
[DEBUG, 1509133648.8039324]: PiCamera image received: ImageMessage(t=1509133648.803918, n=33)
[DEBUG, 1509133648.8362048]: PiCamera image received: ImageMessage(t=1509133648.8361897, n=34)
[DEBUG, 1509133648.9030633]: PiCamera image received: ImageMessage(t=1509133648.9030492, n=35)
[DEBUG, 1509133648.9355574]: PiCamera image received: ImageMessage(t=1509133648.9355414, n=36)
[DEBUG, 1509133648.9687886]: PiCamera image received: ImageMessage(t=1509133648.9687707, n=37)
