[PiCamera @ factory.py:85][DEBUG] 2017-10-27 15:48:30,950: Logging to: logs/2017_Oct_27/PiCamera/15_48_30.log
[PiCamera @ picamera.py:49][DEBUG] 2017-10-27 15:48:30,992: PiCamera setup
[PiCamera @ picamera.py:60][INFO] 2017-10-27 15:48:31,258: PiCamera initialized: <picamera.camera.PiCamera object at 0x6ff00ac0>
[PiCamera @ picamera.py:137][INFO] 2017-10-27 15:48:31,259: Warming up camera
[PiCamera @ picamera.py:91][INFO] 2017-10-27 15:48:33,291: Recording video on 'videos/2017_Oct_27/NaborisOrchestrator/15_48_30.mp4.h264'
[PiCamera @ node.py:64][DEBUG] 2017-10-27 15:48:43,236: [log buffer start]
[DEBUG, 1509133715.0908947]: PiCamera image received: ImageMessage(t=1509133715.0908744, n=0)
[DEBUG, 1509133715.1238608]: PiCamera image received: ImageMessage(t=1509133715.1238527, n=1)
[DEBUG, 1509133715.1567059]: PiCamera image received: ImageMessage(t=1509133715.1566954, n=2)
[DEBUG, 1509133715.1888874]: PiCamera image received: ImageMessage(t=1509133715.188878, n=3)
[DEBUG, 1509133715.221572]: PiCamera image received: ImageMessage(t=1509133715.2215629, n=4)
[DEBUG, 1509133715.2538314]: PiCamera image received: ImageMessage(t=1509133715.2538228, n=5)
[DEBUG, 1509133715.2865717]: PiCamera image received: ImageMessage(t=1509133715.2865634, n=6)
[DEBUG, 1509133715.3194144]: PiCamera image received: ImageMessage(t=1509133715.3193986, n=7)
[DEBUG, 1509133715.353943]: PiCamera image received: ImageMessage(t=1509133715.3539279, n=8)
[DEBUG, 1509133715.4207292]: PiCamera image received: ImageMessage(t=1509133715.4206488, n=9)
[DEBUG, 1509133715.4590194]: PiCamera image received: ImageMessage(t=1509133715.459004, n=10)
[DEBUG, 1509133715.4968088]: PiCamera image received: ImageMessage(t=1509133715.4967937, n=11)
[DEBUG, 1509133715.5292327]: PiCamera image received: ImageMessage(t=1509133715.5292182, n=12)
[DEBUG, 1509133715.5620587]: PiCamera image received: ImageMessage(t=1509133715.562044, n=13)
[DEBUG, 1509133715.594451]: PiCamera image received: ImageMessage(t=1509133715.594434, n=14)
[DEBUG, 1509133715.6274166]: PiCamera image received: ImageMessage(t=1509133715.6274025, n=15)
[DEBUG, 1509133715.6599123]: PiCamera image received: ImageMessage(t=1509133715.659899, n=16)
[DEBUG, 1509133715.6926186]: PiCamera image received: ImageMessage(t=1509133715.6926038, n=17)
[DEBUG, 1509133715.7263176]: PiCamera image received: ImageMessage(t=1509133715.7263036, n=18)
[DEBUG, 1509133715.758594]: PiCamera image received: ImageMessage(t=1509133715.7585754, n=19)
[DEBUG, 1509133715.8234715]: PiCamera image received: ImageMessage(t=1509133715.8234582, n=20)
[DEBUG, 1509133715.8556564]: PiCamera image received: ImageMessage(t=1509133715.8556428, n=21)
[DEBUG, 1509133715.8887014]: PiCamera image received: ImageMessage(t=1509133715.8886871, n=22)
[DEBUG, 1509133715.9217708]: PiCamera image received: ImageMessage(t=1509133715.9217565, n=23)
[DEBUG, 1509133715.95395]: PiCamera image received: ImageMessage(t=1509133715.953935, n=24)
[DEBUG, 1509133715.9865184]: PiCamera image received: ImageMessage(t=1509133715.9865038, n=25)
[DEBUG, 1509133716.0254018]: PiCamera image received: ImageMessage(t=1509133716.0253885, n=26)
[DEBUG, 1509133716.0583105]: PiCamera image received: ImageMessage(t=1509133716.0582962, n=27)
[DEBUG, 1509133716.091123]: PiCamera image received: ImageMessage(t=1509133716.0911093, n=28)
[DEBUG, 1509133716.1564145]: PiCamera image received: ImageMessage(t=1509133716.1563997, n=29)
[DEBUG, 1509133716.1893394]: PiCamera image received: ImageMessage(t=1509133716.1893249, n=30)
[DEBUG, 1509133716.2273908]: PiCamera image received: ImageMessage(t=1509133716.2273765, n=31)
[DEBUG, 1509133716.3439803]: PiCamera image received: ImageMessage(t=1509133716.343964, n=32)
[DEBUG, 1509133716.4183114]: PiCamera image received: ImageMessage(t=1509133716.4182951, n=33)
[DEBUG, 1509133716.5146573]: PiCamera image received: ImageMessage(t=1509133716.5146396, n=34)
[DEBUG, 1509133716.605196]: PiCamera image received: ImageMessage(t=1509133716.6051807, n=35)
[DEBUG, 1509133716.638246]: PiCamera image received: ImageMessage(t=1509133716.6382315, n=36)
[DEBUG, 1509133716.6710532]: PiCamera image received: ImageMessage(t=1509133716.671037, n=37)
[DEBUG, 1509133716.7034261]: PiCamera image received: ImageMessage(t=1509133716.703411, n=38)
[DEBUG, 1509133716.7765753]: PiCamera image received: ImageMessage(t=1509133716.776461, n=39)
[DEBUG, 1509133716.8096685]: PiCamera image received: ImageMessage(t=1509133716.8096542, n=40)
[DEBUG, 1509133716.8426576]: PiCamera image received: ImageMessage(t=1509133716.8426416, n=41)
[DEBUG, 1509133716.8769836]: PiCamera image received: ImageMessage(t=1509133716.8769646, n=42)
[DEBUG, 1509133716.9430394]: PiCamera image received: ImageMessage(t=1509133716.9430223, n=43)
[DEBUG, 1509133717.0884247]: PiCamera image received: ImageMessage(t=1509133717.0884106, n=44)
[DEBUG, 1509133717.120776]: PiCamera image received: ImageMessage(t=1509133717.1207614, n=45)
[DEBUG, 1509133717.155113]: PiCamera image received: ImageMessage(t=1509133717.1550958, n=46)
[DEBUG, 1509133717.18803]: PiCamera image received: ImageMessage(t=1509133717.1880145, n=47)
[DEBUG, 1509133717.2204132]: PiCamera image received: ImageMessage(t=1509133717.2203991, n=48)
[DEBUG, 1509133717.2873223]: PiCamera image received: ImageMessage(t=1509133717.2873068, n=49)
[DEBUG, 1509133717.3527749]: PiCamera image received: ImageMessage(t=1509133717.35276, n=50)
[DEBUG, 1509133717.418346]: PiCamera image received: ImageMessage(t=1509133717.4183297, n=51)
[DEBUG, 1509133717.489067]: PiCamera image received: ImageMessage(t=1509133717.4890525, n=52)
[DEBUG, 1509133717.527227]: PiCamera image received: ImageMessage(t=1509133717.5272117, n=53)
[DEBUG, 1509133717.5609498]: PiCamera image received: ImageMessage(t=1509133717.5609283, n=54)
[DEBUG, 1509133717.593895]: PiCamera image received: ImageMessage(t=1509133717.5938802, n=55)
[DEBUG, 1509133717.6261923]: PiCamera image received: ImageMessage(t=1509133717.626178, n=56)
[DEBUG, 1509133717.6917567]: PiCamera image received: ImageMessage(t=1509133717.6917412, n=57)
[DEBUG, 1509133717.7247703]: PiCamera image received: ImageMessage(t=1509133717.7247536, n=58)
[DEBUG, 1509133717.7573445]: PiCamera image received: ImageMessage(t=1509133717.7573307, n=59)
[DEBUG, 1509133717.7895215]: PiCamera image received: ImageMessage(t=1509133717.7895062, n=60)
[DEBUG, 1509133717.8233085]: PiCamera image received: ImageMessage(t=1509133717.8232944, n=61)
[DEBUG, 1509133717.8939984]: PiCamera image received: ImageMessage(t=1509133717.8939836, n=62)
[DEBUG, 1509133717.9673712]: PiCamera image received: ImageMessage(t=1509133717.9673564, n=63)
[DEBUG, 1509133718.0483506]: PiCamera image received: ImageMessage(t=1509133718.0483353, n=64)
[DEBUG, 1509133718.1176517]: PiCamera image received: ImageMessage(t=1509133718.117637, n=65)
