[PiCamera @ factory.py:85][DEBUG] 2017-10-27 15:49:00,785: Logging to: logs/2017_Oct_27/PiCamera/15_49_00.log
[PiCamera @ picamera.py:49][DEBUG] 2017-10-27 15:49:00,827: PiCamera setup
[PiCamera @ picamera.py:60][INFO] 2017-10-27 15:49:01,094: PiCamera initialized: <picamera.camera.PiCamera object at 0x6fec1ac0>
[PiCamera @ picamera.py:137][INFO] 2017-10-27 15:49:01,095: Warming up camera
[PiCamera @ picamera.py:91][INFO] 2017-10-27 15:49:03,125: Recording video on 'videos/2017_Oct_27/NaborisOrchestrator/15_49_00.mp4.h264'
[PiCamera @ node.py:64][DEBUG] 2017-10-27 15:49:13,284: [log buffer start]
[DEBUG, 1509133744.8827732]: PiCamera image received: ImageMessage(t=1509133744.8827546, n=15)
[DEBUG, 1509133744.9615095]: PiCamera image received: ImageMessage(t=1509133744.9614983, n=16)
[DEBUG, 1509133744.9946256]: PiCamera image received: ImageMessage(t=1509133744.994615, n=17)
[DEBUG, 1509133745.0264535]: PiCamera image received: ImageMessage(t=1509133745.0264456, n=18)
[DEBUG, 1509133745.059131]: PiCamera image received: ImageMessage(t=1509133745.0591218, n=19)
[DEBUG, 1509133745.0913246]: PiCamera image received: ImageMessage(t=1509133745.091316, n=20)
[DEBUG, 1509133745.1243563]: PiCamera image received: ImageMessage(t=1509133745.1243408, n=21)
[DEBUG, 1509133745.1572735]: PiCamera image received: ImageMessage(t=1509133745.1572587, n=22)
[DEBUG, 1509133745.1915329]: PiCamera image received: ImageMessage(t=1509133745.191517, n=23)
[DEBUG, 1509133745.2565336]: PiCamera image received: ImageMessage(t=1509133745.2565172, n=24)
[DEBUG, 1509133745.2890296]: PiCamera image received: ImageMessage(t=1509133745.2890146, n=25)
[DEBUG, 1509133745.3637846]: PiCamera image received: ImageMessage(t=1509133745.3637698, n=26)
[DEBUG, 1509133745.397131]: PiCamera image received: ImageMessage(t=1509133745.3971162, n=27)
[DEBUG, 1509133745.4296637]: PiCamera image received: ImageMessage(t=1509133745.4296489, n=28)
[DEBUG, 1509133745.4627364]: PiCamera image received: ImageMessage(t=1509133745.4627216, n=29)
[DEBUG, 1509133745.4980242]: PiCamera image received: ImageMessage(t=1509133745.4980087, n=30)
[DEBUG, 1509133745.5301]: PiCamera image received: ImageMessage(t=1509133745.5300858, n=31)
[DEBUG, 1509133745.564078]: PiCamera image received: ImageMessage(t=1509133745.5640635, n=32)
[DEBUG, 1509133745.596353]: PiCamera image received: ImageMessage(t=1509133745.596339, n=33)
[DEBUG, 1509133745.629098]: PiCamera image received: ImageMessage(t=1509133745.6290834, n=34)
[DEBUG, 1509133745.6617362]: PiCamera image received: ImageMessage(t=1509133745.6617208, n=35)
[DEBUG, 1509133745.6941416]: PiCamera image received: ImageMessage(t=1509133745.694127, n=36)
[DEBUG, 1509133745.7275443]: PiCamera image received: ImageMessage(t=1509133745.727529, n=37)
[DEBUG, 1509133745.7985816]: PiCamera image received: ImageMessage(t=1509133745.7985668, n=39)
[DEBUG, 1509133745.830989]: PiCamera image received: ImageMessage(t=1509133745.830974, n=40)
[DEBUG, 1509133745.8996685]: PiCamera image received: ImageMessage(t=1509133745.8996534, n=41)
[DEBUG, 1509133745.933985]: PiCamera image received: ImageMessage(t=1509133745.9339712, n=42)
[DEBUG, 1509133745.9680293]: PiCamera image received: ImageMessage(t=1509133745.9680142, n=43)
[DEBUG, 1509133746.0011864]: PiCamera image received: ImageMessage(t=1509133746.0011718, n=44)
[DEBUG, 1509133746.0339065]: PiCamera image received: ImageMessage(t=1509133746.0338905, n=45)
[DEBUG, 1509133746.0676203]: PiCamera image received: ImageMessage(t=1509133746.0676048, n=46)
[DEBUG, 1509133746.1006372]: PiCamera image received: ImageMessage(t=1509133746.100622, n=47)
[DEBUG, 1509133746.1431956]: PiCamera image received: ImageMessage(t=1509133746.143176, n=48)
[DEBUG, 1509133746.2347827]: PiCamera image received: ImageMessage(t=1509133746.2347636, n=49)
[DEBUG, 1509133746.30338]: PiCamera image received: ImageMessage(t=1509133746.3033624, n=50)
[DEBUG, 1509133746.358038]: PiCamera image received: ImageMessage(t=1509133746.3580213, n=51)
[DEBUG, 1509133746.5788956]: PiCamera image received: ImageMessage(t=1509133746.5788786, n=52)
[DEBUG, 1509133746.646129]: PiCamera image received: ImageMessage(t=1509133746.6457937, n=53)
