[PiCamera @ factory.py:85][DEBUG] 2017-10-27 15:49:28,257: Logging to: logs/2017_Oct_27/PiCamera/15_49_28.log
[PiCamera @ picamera.py:49][DEBUG] 2017-10-27 15:49:28,299: PiCamera setup
[PiCamera @ picamera.py:60][INFO] 2017-10-27 15:49:28,566: PiCamera initialized: <picamera.camera.PiCamera object at 0x6feb2ac0>
[PiCamera @ picamera.py:137][INFO] 2017-10-27 15:49:28,567: Warming up camera
[PiCamera @ picamera.py:91][INFO] 2017-10-27 15:49:30,597: Recording video on 'videos/2017_Oct_27/NaborisOrchestrator/15_49_28.mp4.h264'
[PiCamera @ node.py:64][DEBUG] 2017-10-27 15:49:40,523: [log buffer start]
[DEBUG, 1509133772.3454535]: PiCamera image received: ImageMessage(t=1509133772.3454256, n=4)
[DEBUG, 1509133772.387534]: PiCamera image received: ImageMessage(t=1509133772.3875237, n=5)
[DEBUG, 1509133772.4233325]: PiCamera image received: ImageMessage(t=1509133772.4233239, n=6)
[DEBUG, 1509133772.4562068]: PiCamera image received: ImageMessage(t=1509133772.4561987, n=7)
[DEBUG, 1509133772.4885128]: PiCamera image received: ImageMessage(t=1509133772.4885046, n=8)
[DEBUG, 1509133772.5214207]: PiCamera image received: ImageMessage(t=1509133772.5214062, n=9)
[DEBUG, 1509133772.5542448]: PiCamera image received: ImageMessage(t=1509133772.554231, n=10)
[DEBUG, 1509133772.586793]: PiCamera image received: ImageMessage(t=1509133772.5867782, n=11)
[DEBUG, 1509133772.6197236]: PiCamera image received: ImageMessage(t=1509133772.6197097, n=12)
[DEBUG, 1509133772.6525722]: PiCamera image received: ImageMessage(t=1509133772.6525571, n=13)
[DEBUG, 1509133772.717293]: PiCamera image received: ImageMessage(t=1509133772.7172778, n=14)
[DEBUG, 1509133772.7505236]: PiCamera image received: ImageMessage(t=1509133772.7505085, n=15)
[DEBUG, 1509133772.783496]: PiCamera image received: ImageMessage(t=1509133772.7834811, n=16)
[DEBUG, 1509133772.8162742]: PiCamera image received: ImageMessage(t=1509133772.8162596, n=17)
